model,infer_samples_per_sec,infer_step_time,infer_batch_size,infer_img_size,infer_gmacs,infer_macts,param_count
simplenetv1_small_m1_05,4644.28,55.104,256,224,0.34,0.99,1.51
simplenetv1_small_m2_05,3955.84,64.699,256,224,0.43,1.14,1.51
mobilenetv3_small_050,2992.25,85.538,256,224,0.03,0.92,1.59
tf_mobilenetv3_small_minimal_100,2945.86,86.884,256,224,0.06,1.41,2.04
simplenetv1_small_m1_075,2640.44,96.936,256,224,0.76,1.49,3.29
simplenetv1_small_m2_075,2279.1,112.307,256,224,0.96,1.71,3.29
lcnet_050,2190.31,116.86,256,224,0.05,1.26,1.88
mobilenetv3_small_075,2142.88,119.445,256,224,0.05,1.3,2.04
tf_mobilenetv3_small_075,2038.08,125.591,256,224,0.05,1.3,2.04
mobilenetv3_small_100,1827.06,140.097,256,224,0.06,1.42,2.54
tf_mobilenetv3_small_100,1745.42,146.649,256,224,0.06,1.42,2.54
mnasnet_small,1458.86,175.46,256,224,0.07,2.16,2.03
dla46_c,1317.72,194.252,256,224,0.58,4.5,1.3
mobilenetv2_050,1156.74,221.293,256,224,0.1,3.64,1.97
dla46x_c,1046.13,244.689,256,224,0.54,5.66,1.07
dla60x_c,965.39,265.154,256,224,0.59,6.01,1.32
